measurement_id,resolver,domain
107787495,local,google.com
107787496,local,facebook.com
107787497,local,amazon.com
107787498,local,wikipedia.org
107787499,local,baidu.com
107787500,google,google.com
107787501,google,facebook.com
107787502,google,amazon.com
107787503,google,wikipedia.org
107787504,google,baidu.com
107787505,q9,google.com
107787506,q9,facebook.com
107787507,q9,amazon.com
107787508,q9,wikipedia.org
107787509,q9,baidu.com
107787510,cloudflare,google.com
107787511,cloudflare,facebook.com
107787512,cloudflare,amazon.com
107787514,cloudflare,wikipedia.org
107787515,cloudflare,baidu.com
