month,onionperf_median,pct_bw443
2023-01-31,19.2056115,29.13067613362765
2023-02-28,18.300361,28.065767966210515
2023-03-31,7.41034,30.537328160778603
2023-04-30,7.368239,30.526298588929308
2023-05-31,8.231478,29.79520665171089
2023-06-30,9.241993,28.72921963788725
2023-07-31,9.662656,24.86741363220104
2023-08-31,7.978474,27.101984247970183
2023-09-30,8.580374,29.260251324736583
2023-10-31,13.940686,28.614993839053348
2023-11-30,10.939317,31.626603339819347
2023-12-31,11.0675265,30.916260961842667
